"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","testAjaxData","Surefire suite","Wed Oct 22 19:53:54 UTC 2025","broken","Wed Oct 22 19:53:54 UTC 2025","ui.testing.test.SecondRowTest","Surefire test","ui.testing.test.SecondRowTest","testAjaxData"
"","633","testClassAttribute","Surefire suite","Wed Oct 22 19:53:51 UTC 2025","passed","Wed Oct 22 19:53:51 UTC 2025","ui.testing.test.FirstRowTest","Surefire test","ui.testing.test.FirstRowTest","testClassAttribute"
"","28","Dynamic ID - Verify that element ID changes after refresh","Surefire suite","Wed Oct 22 19:53:52 UTC 2025","broken","Wed Oct 22 19:53:52 UTC 2025","ui.testing.test.FirstRowTest","Surefire test","ui.testing.test.FirstRowTest","testDynamicId"
"","28","testLoadDelay","Surefire suite","Wed Oct 22 19:53:53 UTC 2025","broken","Wed Oct 22 19:53:53 UTC 2025","ui.testing.test.FirstRowTest","Surefire test","ui.testing.test.FirstRowTest","testLoadDelay"
"","30","testHiddenLayers","Surefire suite","Wed Oct 22 19:53:53 UTC 2025","broken","Wed Oct 22 19:53:53 UTC 2025","ui.testing.test.FirstRowTest","Surefire test","ui.testing.test.FirstRowTest","testHiddenLayers"
