"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Dynamic ID - Verify that element ID changes after refresh","Surefire suite","Wed Oct 15 18:50:57 UTC 2025","skipped","Wed Oct 15 18:50:57 UTC 2025","ui.testing.test.FirstRowTest","Surefire test","ui.testing.test.FirstRowTest","testDynamicId"
"","0","setUp","Surefire suite","Wed Oct 15 18:50:57 UTC 2025","broken","Wed Oct 15 18:50:57 UTC 2025","ui.testing.test.SecondRowTest","Surefire test","ui.testing.test.SecondRowTest","setUp"
"","2","setUp","Surefire suite","Wed Oct 15 18:50:57 UTC 2025","broken","Wed Oct 15 18:50:57 UTC 2025","ui.testing.test.FirstRowTest","Surefire test","ui.testing.test.FirstRowTest","setUp"
"","0","testHiddenLayers","Surefire suite","Wed Oct 15 18:50:57 UTC 2025","skipped","Wed Oct 15 18:50:57 UTC 2025","ui.testing.test.FirstRowTest","Surefire test","ui.testing.test.FirstRowTest","testHiddenLayers"
"","1","testLoadDelay","Surefire suite","Wed Oct 15 18:50:57 UTC 2025","skipped","Wed Oct 15 18:50:57 UTC 2025","ui.testing.test.FirstRowTest","Surefire test","ui.testing.test.FirstRowTest","testLoadDelay"
"","1","testClassAttribute","Surefire suite","Wed Oct 15 18:50:57 UTC 2025","skipped","Wed Oct 15 18:50:57 UTC 2025","ui.testing.test.FirstRowTest","Surefire test","ui.testing.test.FirstRowTest","testClassAttribute"
"","1","testAjaxData","Surefire suite","Wed Oct 15 18:50:57 UTC 2025","skipped","Wed Oct 15 18:50:57 UTC 2025","ui.testing.test.SecondRowTest","Surefire test","ui.testing.test.SecondRowTest","testAjaxData"
