"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","UI Testing Playground","0","Elements","0","0","Load Delay","0"
"1","UI Testing Playground","0","Elements","0","0","AJAX Data","0"
"1","UI Testing Playground","0","Elements","0","0","Dynamic ID","0"
"0","UI Testing Playground","0","Elements","1","0","Hidden Layers","0"
"0","UI Testing Playground","0","Elements","1","0","Class Attribute","0"
